STW,T_mean,Trim,Wind_Speed,Wind_Dir,ME_Power
12.189408894210851,14.299999999999999,0.1,22,55,5375.101066869597
13.124476204353812,14.299999999999999,0.1,13,50,6528.213738359701
13.481895845168163,14.299999999999999,0.1,22,35,7775.285973622317
13.674251874351134,14.299999999999999,0.1,22,60,7714.784652223456
13.964772380841312,14.299999999999999,0.1,13,45,8095.875604361248
14.100596310778807,14.299999999999999,0.1,13,15,8647.75823008344
14.434872926056048,14.299999999999999,0.1,22,45,9595.238836535413
14.844714972572065,14.299999999999999,0.1,22,20,10835.77998843147
12.196599877287024,14.299999999999999,0.1,13,175,4542.171685522254
13.157316793582265,14.299999999999999,0.1,22,125,5850.30428969584
13.512971619701931,14.299999999999999,0.1,16,150,6444.324235267837
13.631527854828391,14.299999999999999,0.1,22,135,6602.918687099451
13.981224939742452,14.299999999999999,0.1,19,145,7121.5668490833605
14.136498324992752,14.299999999999999,0.1,22,155,7289.819056102939
14.457601875769134,14.299999999999999,0.1,13,175,8430.810665635647
14.888955343507751,14.299999999999999,0.1,19,130,9218.938149707663
